parent,name*,displayName,description,synonyms,relatedTerms,references,tags,reviewers,owner,status
,AnoCenso,Ano de Censo,"Ano de referência do Censo da Educação Superior, utilizado para reportar dados de matrícula e concluintes.",Censo,,,,,,
,InstituicaoEnsinoSuperior,Instituição de Ensino Superior,,,,,,,,
CensoEscolarEnsinoSuperior.InstituicaoEnsinoSuperior,NomeInstituicao,Nome da Instituição ,Nome da Instituição de Ensino Superior,,,,,,,
CensoEscolarEnsinoSuperior.InstituicaoEnsinoSuperior,SiglaInstituicao,Sigla da Instituição ,Sigla da Instituição de Ensino Superior,,,,,,,
CensoEscolarEnsinoSuperior.InstituicaoEnsinoSuperior,CodigoInstituicao ,Código da Instituição ,Código da Instituição de Ensino Superior,,,govbr;https://www.gov.br/,,,,
,Localizacao,Localização,Formas de localização/identificar uma IES,,,,,,,
CensoEscolarEnsinoSuperior.Localizacao,UnidadeFederacao,Unidade da Federação,Nome da Unidade da Federação da sede administrativa ou reitoria da IES.,Estado,,govbr;https://www.gov.br/,,,,
CensoEscolarEnsinoSuperior.Localizacao,SiglaUF,Sigla da UF,Sigla da Unidade da Federação da sede administrativa ou reitoria da IES.,,,govbr;https://www.gov.br/,,,,
CensoEscolarEnsinoSuperior.Localizacao,NomeMunicípio,Nome do Município,Nome do Município da sede administrativa ou reitoria da IES.,,,govbr;https://www.gov.br/,,,,
,EstruturaAdministrativa,,,,,,,,,
CensoEscolarEnsinoSuperior.EstruturaAdministrativa,TipoOrganizacaoAcademica,Tipo de Organização Acadêmica,Classificação da estrutura organizacional da IES.,,,govbr;https://www.gov.br/,,,,
CensoEscolarEnsinoSuperior.EstruturaAdministrativa,RedeEnsino,Rede de Ensino,"Tipo de rede de ensino da IES, indicando se é pública ou privada.",,,govbr;https://www.gov.br/,,,,
CensoEscolarEnsinoSuperior.EstruturaAdministrativa,CategoriaAdministrativa,Categoria Administrativa,Classificação da IES em termos de sua categoria administrativa.,"Pública, Privada",,govbr;https://www.gov.br/,,,,
CensoEscolarEnsinoSuperior.EstruturaAdministrativa,NomeCurso,Nome do Curso,Nome do Curso da IES,Curso,,govbr;https://www.gov.br/,,,,
,AlunosApoioSocial,Alunos com Apoio Social,alunos que recebem algum tipo de apoio social,,,,,,,
CensoEscolarEnsinoSuperior.AlunosApoioSocial,IngressantesFinanciados,alunos que utilizam financiamento estudantil reembolsável,alunos ingressantes que utilizam financiamento estudantil reembolsável.,"Financiamento, Ingressantes",,,,,,
CensoEscolarEnsinoSuperior.AlunosApoioSocial,IngressantesFIES,alunos que utilizam financiamento estudantil reembolsável - FIES,alunos ingressantes que utilizam financiamento estudantil reembolsável do FIES.,"Financiamento, Ingressantes",,,ApoioSocialIngresso.IngressanteFIES,,,
CensoEscolarEnsinoSuperior.AlunosApoioSocial,IngressantesRPFIES,alunos que utilizam financiamento estudantil reembolsável - administrado pela instituição,alunos ingressantes que utilizam financiamento estudantil reembolsável administrado pela própria instituição.,"Financiamento, Ingressantes",,,ApoioSocialIngresso.IngressanteRPFIES,,,
CensoEscolarEnsinoSuperior.AlunosApoioSocial,IngressantesOutrosReemb.,alunos que utilizam financiamento estudantil reembolsável - outros,"alunos ingressantes que utilizam financiamento estudantil reembolsável por governo estadual, municipal, ou entidades externas.","Financiamento, Ingressantes",,,,,,
CensoEscolarEnsinoSuperior.AlunosApoioSocial,IngressantesNReemb.,alunos que utilizam financiamento estudantil não reembolsável,alunos ingressantes que utilizam financiamento estudantil não reembolsável.,"Financiamento, Ingressantes",,,,,,
CensoEscolarEnsinoSuperior.AlunosApoioSocial,IngressantesPROUNIInt.,alunos que utilizam financiamento estudantil não reembolsável - PROUNI Integral,alunos ingressantes que utilizam financiamento estudantil não reembolsável integral do PROUNI.,"Financiamento, Ingressantes",,,,,,
CensoEscolarEnsinoSuperior.AlunosApoioSocial,IngressantesPROUNIParc.,alunos que utilizam financiamento estudantil não reembolsável - PROUNI Parcial,alunos ingressantes que utilizam financiamento estudantil não reembolsável parcial do PROUNI.,"Financiamento, Ingressantes",,,,,,
CensoEscolarEnsinoSuperior.AlunosApoioSocial,IngressantesNRPFIES,alunos que utilizam financiamento estudantil não reembolsável - administrado pela instituição,alunos ingressantes que utilizam financiamento estudantil não reembolsável administrado pela instituição.,"Financiamento, Ingressantes",,,,,,
CensoEscolarEnsinoSuperior.AlunosApoioSocial,IngressantesOutrosNReemb,alunos que utilizam financiamento estudantil não reembolsável - outros,"alunos ingressantes que utilizam financiamento estudantil não reembolsável por governo estadual, municipal, ou entidades externas.","Financiamento, Ingressantes",,,,,,